,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
179,0.0247013568878,0.0011795759201,0.591870097821,0.59778195019,entropy,15.0,0.26774193548387099,0.3032258064516129,"{'min_samples_split': 0.3032258064516129, 'criterion': 'entropy', 'max_depth': 15.0, 'min_samples_leaf': 0.26774193548387099}",95,0.604315379624,0.60100697125,0.573210508984,0.572752218466,0.59388312239,0.603211167836,0.600331662436,0.601913878464,0.603818474353,0.601112035939,0.575658532902,0.606695429187,0.00232202364766,6.95249112296e-05,0.0128086656396,0.0113576482707
166,0.0245153506597,0.00122567017873,0.591628513699,0.597501551372,entropy,9.0,0.28064516129032258,0.44838709677419353,"{'min_samples_split': 0.44838709677419353, 'criterion': 'entropy', 'max_depth': 9.0, 'min_samples_leaf': 0.28064516129032258}",98,0.607330583109,0.599906449242,0.573210508984,0.572752218466,0.591950070573,0.603314375289,0.597073122564,0.602028785548,0.605081231159,0.600681331689,0.575119508838,0.606326147996,0.00254326229113,0.000156088403995,0.0133490746593,0.0112589393572
50,0.0242516597112,0.0011633237203,0.591628513699,0.597501551372,entropy,15.0,0.28064516129032258,0.53548387096774197,"{'min_samples_split': 0.53548387096774197, 'criterion': 'entropy', 'max_depth': 15.0, 'min_samples_leaf': 0.28064516129032258}",98,0.607330583109,0.599906449242,0.573210508984,0.572752218466,0.591950070573,0.603314375289,0.597073122564,0.602028785548,0.605081231159,0.600681331689,0.575119508838,0.606326147996,0.00226119660229,8.22399728732e-05,0.0133490746593,0.0112589393572
34,0.0242071946462,0.00121736526489,0.591628513699,0.597501551372,entropy,32.0,0.28064516129032258,0.3032258064516129,"{'min_samples_split': 0.3032258064516129, 'criterion': 'entropy', 'max_depth': 32.0, 'min_samples_leaf': 0.28064516129032258}",98,0.607330583109,0.599906449242,0.573210508984,0.572752218466,0.591950070573,0.603314375289,0.597073122564,0.602028785548,0.605081231159,0.600681331689,0.575119508838,0.606326147996,0.00207849156547,7.07751217677e-05,0.0133490746593,0.0112589393572
177,0.0240870316823,0.00113495190938,0.591628513699,0.597501551372,entropy,29.0,0.28064516129032258,0.50645161290322582,"{'min_samples_split': 0.50645161290322582, 'criterion': 'entropy', 'max_depth': 29.0, 'min_samples_leaf': 0.28064516129032258}",98,0.607330583109,0.599906449242,0.573210508984,0.572752218466,0.591950070573,0.603314375289,0.597073122564,0.602028785548,0.605081231159,0.600681331689,0.575119508838,0.606326147996,0.00184119437169,2.42506844357e-05,0.0133490746593,0.0112589393572
125,0.0230219761531,0.00112998485565,0.591086942792,0.595121022767,entropy,6.0,0.3193548387096774,0.6225806451612903,"{'min_samples_split': 0.6225806451612903, 'criterion': 'entropy', 'max_depth': 6.0, 'min_samples_leaf': 0.3193548387096774}",102,0.606068647446,0.597317197453,0.573210508984,0.572752218466,0.589366472471,0.600664757213,0.597926964563,0.598948927492,0.603880624757,0.597761461436,0.57606280095,0.60328157454,0.00187484485516,5.70423197765e-05,0.0128016699875,0.0101991744512
136,0.0175414880117,0.00109755992889,0.574047215204,0.574049671215,gini,16.0,0.29354838709677422,0.82580645161290323,"{'min_samples_split': 0.82580645161290323, 'criterion': 'gini', 'max_depth': 16.0, 'min_samples_leaf': 0.29354838709677422}",103,0.576068415686,0.573645743626,0.592757738653,0.57030454929,0.568939319134,0.575071397923,0.573925291729,0.57407502583,0.572983742151,0.574262846682,0.5595981715,0.576938463937,0.000215942998635,0.000133262461139,0.00991807860751,0.0019842811974
20,0.0173929532369,0.00106271107992,0.574047215204,0.574049671215,gini,5.0,0.33225806451612905,0.41935483870967749,"{'min_samples_split': 0.41935483870967749, 'criterion': 'gini', 'max_depth': 5.0, 'min_samples_leaf': 0.33225806451612905}",103,0.576068415686,0.573645743626,0.592757738653,0.57030454929,0.568939319134,0.575071397923,0.573925291729,0.57407502583,0.572983742151,0.574262846682,0.5595981715,0.576938463937,0.000155244896868,4.78829090993e-05,0.00991807860751,0.0019842811974
28,0.0173749923706,0.00106116135915,0.574047215204,0.574049671215,gini,32.0,0.34516129032258064,0.85483870967741937,"{'min_samples_split': 0.85483870967741937, 'criterion': 'gini', 'max_depth': 32.0, 'min_samples_leaf': 0.34516129032258064}",103,0.576068415686,0.573645743626,0.592757738653,0.57030454929,0.568939319134,0.575071397923,0.573925291729,0.57407502583,0.572983742151,0.574262846682,0.5595981715,0.576938463937,9.95579577269e-05,5.11481329958e-05,0.00991807860751,0.0019842811974
15,0.0190364917119,0.00118366877238,0.574047215204,0.574049671215,gini,22.0,0.30645161290322581,0.73870967741935489,"{'min_samples_split': 0.73870967741935489, 'criterion': 'gini', 'max_depth': 22.0, 'min_samples_leaf': 0.30645161290322581}",103,0.576068415686,0.573645743626,0.592757738653,0.57030454929,0.568939319134,0.575071397923,0.573925291729,0.57407502583,0.572983742151,0.574262846682,0.5595981715,0.576938463937,0.00174117770859,9.87732873696e-05,0.00991807860751,0.0019842811974
